id	Arch	Site	FDI notation of fully/partially visible teeth
1	Lower	Right	44,45,46,47,48
2	Lower	Left	36,37,38
3	Upper	Anterior	13,12,11,21,22
4	Lower	Left	36,37,38
5	Upper	Anterior	12,11,21,22,23
7	Upper	Anterior	13,12,11,21,22
9	Upper	Anterior	12,11,21,22,23,24
10	Lower	Anterior	43,42,41,31,32
12	Lower	Right	43,44,45,46
13	Lower	Anterior	43,42,41,31,32
14	Upper	Left	13,14,15,16,17
15	Upper	Left	13,14,15,16
16	Lower	Left	41,31,32,33,34,35
17	Upper	Anterior	12,11,21,22,23
18	Lower	Anterior	34,33,32,31,41,42,43
20	Lower	Right	45,46,47,48
21	Lower	Left	34,35,36,37,38
22	Lower	Left	36,37,38
23	Lower	Left	37,38
24	Upper	Right	14,15,18
25	Lower	Left	34,35,37
26	Lower	Right	43,42,41,31
27	Upper	Right	14,15,16,17,18
28	Upper	Right	11,12,13,14,15
29	Lower	Right	46,47,48
30	Lower	Left	34,35,36,37,38
31	Lower	Right	46,47,48
32	Lower	Anterior	44,43,42,31,32,33
33	Lower	Anterior	43,42,41,31,32,33
34	Lower	Left	35,36,37
35	Lower	Anterior	33,32,31,41
36	Upper	Left	21,22,23,24
37	Lower	Left	33,34,35,36,37
38	Lower	Left	32,33,34,35,36
39	Upper	Anterior	12,11,21,22
40	Upper	Right	13,14,15,16,17
41	Lower	Right	46,47,48
42	Lower	Right	44,45,46,47,48
43	Lower	Left	41,31,32,33,34,35
44	Upper	Anterior	11,21,22,23,24
45	Lower	Right	41,42,43,44,45,46
46	Upper	Anterior	12,11,21,22,23,24
48	Lower	Anterior	43,42,41,31,32,33
49	Lower	Right	46,47,48
50	Lower	Right	32,31,41,42,43,44
51	Upper	Right	13,15,16
52	Lower	Anterior	43,41,31,33
54	Lower	Anterior	32,31,41,42,43,44
55	Upper	Anterior	14,13,12,11,21,22
56	Lower	Left	33,34,35
57	Lower	Anterior	42,41,31,32,33,34
58	Lower	Right	47,48
59	Lower	Left	34,35,37
60	Upper	Right	13,14,15,16,17,18
63	Upper	Anterior	13,12,11,21,14
66	Upper	Anterior	14,13,12,11,21,22
67	Upper	Right	15,16,17
68	Lower	Anterior	33,32,31,41,42,43,44
70	Upper	Left	23,24,25
71	Upper	Right	13,14,15,16,17
74	Lower	Right	45,46,47,48
75	Upper	Right	12,13,5,1
76	Lower	Right	42,31,32,33,34,35
77	Lower	Right	34,35,38
79	Lower	Anterior	43,42,41,31,32,33,34
80	Lower	Right	48
81	Upper	Left	42,43,44,45
82	Lower	Anterior	43,42,41,31,32,33,34
83	Lower	Right	41,42,43,44
84	Upper	Right	15,17,18
85	Upper	Left	15,16,17,18
86	Upper	Right	13,14,15,16,17
87	Lower	Anterior	43,42,41,31,32,33
88	Upper	Left	23,25
90	Lower	Right	42,43,44
91	Lower	Left	37
92	Lower	Anterior	43,42,41,31,32,33,34
94	Upper	Left	24,25,26,27,28
95	Lower	Right	46,47,48
96	Upper	Left	23,24,25,26,27
97	Upper	Anterior	12,11,21,22,23
99	Upper	Left	23,24,25,26,27,28
100	Upper	Right	13,14,15,16,17,18
101	Upper	Left	24,26,27
102	Lower	Right	34,35
103	Upper	Left	24,25,26,27
105	Upper	Left	23,24,25,26,27,28
106	Lower	Anterior	43,41,31,32,33
107	Upper	Right	13,14,16,17
108	Lower	Anterior	43,42,31
109	Upper	Left	25,26,27
110	Upper	Right	13,14,15,16,17,18
111	Lower	Anterior	43,42,41,31,32,33
112	Upper	Right	14,15,16,17,18
113	Upper	Left	24,26,27,28
114	Upper	Anterior	13,12,11,21
115	Lower	Right	48
118	Lower	Left	35,36,37,38
123	Upper	Anterior	12,21,22
124	Upper	Right	12,13,14,15,16,17
125	Lower	Anterior	45,44,43,41,31,32,33
127	Lower	Left	35,36,37,38
131	Lower	Left	35,36,37,38
132	Lower	Left	35,36,37,38
134	Lower	Left	35,36,37
135	Lower	Right	46,47,48
136	Lower	Left	36,37,38
138	Lower	Right	45,46,47,48
139	Lower	Left	37,38
140	Lower	Left	36,37,38
141	Lower	Left	36,37,38
142	Lower	Right	46,47,48
143	Upper	Left	23,24,25,27,28
145	Lower	Right	44,45,46,47,48
146	Lower	Anterior	43,42,41,31,32,33
148	Lower	Right	46,47,48
149	Lower	Right	46,47,48
150	Lower	Right	45,46,47,48
151	Upper	Left	25,26,27,28
152	Lower	Left	36,37,38
155	Lower	Right	43,44,45,46,47,48
156	Upper	Left	23,24,25,26
157	Lower	Right	36,37,38
158	Lower	Left	46,47,48
161	Lower	Right	36,37,38
162	Lower	Left	36,37,38
163	Lower	Right	46,47,48
164	Lower	Left	36,37,38
165	Lower	Left	35,36,37,38
166	Lower	Left	36,37,38
167	Lower	Right	45,46,47,48
168	Lower	Right	45,46,47
172	Lower	Left	47,48
176	Lower	Right	36,37,38
177	Lower	Right	46,47,48
178	Lower	Right	47,48
179	Upper	Left	23,24,25,27
180	Lower	Left	35,36,37,38
181	Lower	Left	37,38
182	Lower	Right	45,46,47,48
183	Lower	Right	46,47,48
184	Lower	Right	46,47,48
185	Lower	Left	36,37,38
187	Lower	Left	35,36,37,38
189	Lower	Right	46,47,48
190	Lower	Right	45,46,47,48
191	Lower	Left	35,36,37,38
192	Upper	Anterior	12,11,21,22
193	Lower	Left	37,38
194	Lower	Left	35,36,37
195	Lower	Left	36,37,38
199	Lower	Right	45,47,48
201	Lower	Right	45,46,47,48
203	Lower	Left	36,37,38
205	Lower	Right	45,46,47,48
206	Lower	Right	43,44,45
210	Lower	Right	46,47,48
213	Lower	Left	35,36,37,38
214	Lower	Right	46,47,48
216	Lower	Right	41,42,43,44
217	Lower	Right	46,47,48
221	Lower	Left	35,36,37,38
223	Lower	Anterior	43,42,41,31,32,33,34
226	Lower	Left	34,35,36,37
228	Upper	Anterior	13,12,11,21
229	Lower	Right	45,46,47,48
230	Upper	Anterior	12,11,21,22,23
231	Upper	Anterior	12,11,21,22,23
233	Lower	Right	43,44,45,48
234	Lower	Right	44,45,47
235	Lower	Right	45,47
236	Lower	Anterior	42,41,31,32,33
237	Upper	Right	14,15,16,17
238	Upper	Left	24,25,27,28
239	Upper	Right	13,14,15,16,17
240	Upper	Left	23,24,25,26,27
242	Upper	Left	22,23,25
243	Lower	Right	42,43,44,45
244	Upper	Left	23,24,25,26,27
245	Upper	Anterior	12,11,21,22
248	Upper	Left	22,23,24,26,27
249	Upper	Right	13,15,16,17
250	Lower	Left	34,35,37
252	Upper	Left	23,24,25,26,27
254	Lower	Left	33,34,35,38
256	Upper	Anterior	12,11,21,22,23,24
258	Lower	Left	37,38
259	Lower	Right	43,44,45,46,47
261	Upper	Anterior	11,21,22,23
262	Upper	Left	22,23,24,25,26,27
263	Upper	Anterior	11,21,22,23,24
266	Lower	Right	44,45,46,47,48
267	Lower	Right	44,45,46,47,48
268	Upper	Left	22,23,24,25,26,27
269	Lower	Right	44,45,46,47,48
270	Upper	Right	14,15,16,17
271	Upper	Left	25,26,28
272	Upper	Anterior	12,11,21,22
273	Lower	Right	44,45,46,47,48
274	Lower	Right	46,47,48
275	Lower	Left	31,32,33,34,35,35,36
276	Lower	Right	44,45,46,48
277	Upper	Right	12,13,15,16
278	Upper	Anterior	12,11,21,22
279	Upper	Anterior	11,21,22,23
280	Lower	Anterior	43,42,41,31,32,33
281	Lower	Left	35,36,37
282	Lower	Left	35,36,37,38
283	Upper	Anterior	13,12,11,21,22
285	Lower	Right	44,45,47
286	Upper	Right	14,15,16,17,18
291	Upper	Anterior	12,11,21,22
292	Lower	Right	45,47,48
294	Upper	Left	22,23,24,25,26,27
297	Lower	Left	32,33,34,35
298	Lower	Right	45,46,47,48
299	Upper	Anterior	11,21,22,23,24
301	Lower	Right	45,46,47,48
302	Lower	Anterior	42,41,31,33,34
